"Variables ->","i","i_star","D4L_cpi","D4L_ner","D4L_MB","D4L_REM","D4L_pet","gdp_gap_star","gdp_gap"
"Comments ->","","","","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2006M12",5.00000000e+00,5.17000000e+00,5.63095854e+00,-1.31492458e-01,1.88870559e+01,9.71160192e+00,4.19782529e+00,4.66490384e-01,3.53498083e+00
"2007M01",5.00000000e+00,5.33000000e+00,6.03839729e+00,7.84317746e-01,1.70354933e+01,1.42779378e+01,-1.83506827e+01,3.71026531e-01,3.19631938e+00
"2007M02",5.00000000e+00,5.41000000e+00,6.41164802e+00,1.17571570e+00,1.91958980e+01,6.49554279e+00,-3.89116207e+00,4.41999497e-01,2.39699277e+00
"2007M03",5.02272727e+00,5.30000000e+00,6.78837849e+00,9.14441382e-01,1.88704627e+01,1.25366664e+01,-3.64444332e+00,5.90069768e-01,4.54427677e+00
"2007M04",5.28571429e+00,5.29000000e+00,6.20490559e+00,9.18039234e-01,1.43241018e+01,1.59560973e+01,-8.19924812e+00,4.86570137e-01,-2.32935462e-01
"2007M05",5.50000000e+00,5.28000000e+00,5.32113145e+00,7.88440352e-01,1.40893753e+01,8.35697484e+00,-1.10157730e+01,4.92598886e-01,1.71543483e+00
"2007M06",5.50000000e+00,5.31000000e+00,5.17686436e+00,9.15637529e-01,1.77123493e+01,1.39439414e+01,-5.00228894e+00,3.73608199e-01,2.55970370e+00
"2007M07",5.50000000e+00,5.28000000e+00,5.43633107e+00,1.31063475e+00,1.98221839e+01,2.29921454e+01,-3.95120967e-01,3.14992412e-01,2.12260065e+00
"2007M08",5.50000000e+00,4.96000000e+00,6.02364259e+00,1.04987841e+00,1.37124089e+01,1.36006549e+01,-9.44932242e-01,1.55718555e-01,1.41857520e+00
"2007M09",5.52500000e+00,4.58000000e+00,7.07530277e+00,1.17571570e+00,1.88276498e+01,1.09175754e+01,2.25238435e+01,7.52052542e-02,4.14384366e-01
"2007M10",5.75000000e+00,4.60000000e+00,7.43397949e+00,1.43511922e+00,7.28772951e+00,1.44990310e+01,3.76278479e+01,-3.44558555e-02,-7.15820286e-01
"2007M11",6.01136364e+00,4.66000000e+00,8.73626087e+00,3.93443130e-01,1.25135617e+01,1.45337905e+01,4.72543254e+01,-2.29572614e-01,5.55130613e-01
"2007M12",6.28571429e+00,3.06000000e+00,8.38471010e+00,3.93959800e-01,1.07566971e+01,1.19822755e+01,3.91907727e+01,-2.77650042e-01,8.95911664e-01
"2008M01",6.50000000e+00,3.22000000e+00,8.05510875e+00,2.60078170e-01,9.51561431e+00,9.14714035e+00,5.33967700e+01,-4.29640683e-01,1.33651045e+00
"2008M02",6.50000000e+00,3.01000000e+00,8.39954278e+00,2.59403518e-01,6.06800781e+00,1.57559983e+01,4.75677593e+01,-3.19539879e-01,3.67371227e-01
"2008M03",6.53571429e+00,2.51000000e+00,8.70906381e+00,-6.52318034e-01,4.18455024e+00,3.86217736e+00,5.56593620e+01,-3.94947388e-01,-1.94111933e+00
"2008M04",6.75000000e+00,2.37000000e+00,9.86575162e+00,-1.57898017e+00,6.40337831e+00,1.44079581e+01,5.65144473e+01,-4.80936344e-01,1.14743745e+00
"2008M05",6.75000000e+00,1.98000000e+00,1.15482903e+01,-2.78717444e+00,2.15264255e+00,1.28968787e+00,6.81165811e+01,-7.11443059e-01,1.32823834e+00
"2008M06",6.75000000e+00,2.47000000e+00,1.27133499e+01,-2.50507496e+00,1.66455483e+00,7.50892577e+00,6.84978549e+01,-9.21512287e-01,1.22001825e+00
"2008M07",6.88043478e+00,2.09000000e+00,1.32394454e+01,-3.17486983e+00,-5.14579288e-01,7.21010128e+00,5.87480759e+01,-1.11933807e+00,-9.17768933e-01
"2008M08",7.25000000e+00,1.94000000e+00,1.28268141e+01,-3.31815444e+00,4.02547160e+00,-2.09306886e+00,4.77717203e+01,-1.32795005e+00,4.07475408e-01
"2008M09",7.25000000e+00,2.03000000e+00,1.19988289e+01,-3.16649146e+00,2.50620164e+00,1.29007712e+01,2.64528920e+01,-1.56048624e+00,-6.86545902e-01
"2008M10",7.25000000e+00,2.20000000e-01,1.21568168e+01,-2.49193222e+00,1.37250380e+00,-6.19515499e+00,-1.13293214e+01,-2.00862128e+00,-1.29188221e+00
"2008M11",7.25000000e+00,5.20000000e-01,1.02973555e+01,0.00000000e+00,5.19637444e+00,-8.92546082e+00,-5.03012082e+01,-2.43771591e+00,4.39170839e-01
"2008M12",7.25000000e+00,1.40000000e-01,8.98427810e+00,1.04303423e+00,7.07808792e-01,5.61550168e-01,-8.01841766e+01,-2.82908381e+00,-3.16853415e+00
"2009M01",7.22727273e+00,2.30000000e-01,7.58616950e+00,2.05662776e+00,-1.87253027e+00,-8.07316502e+00,-8.01541074e+01,-3.15623564e+00,-4.20996494e+00
"2009M02",6.95000000e+00,2.20000000e-01,6.29568533e+00,2.93575646e+00,-5.94168256e-02,-1.21087263e+01,-8.92132461e+01,-3.52728442e+00,-3.71609043e+00
"2009M03",6.45454545e+00,1.60000000e-01,4.87763253e+00,5.59942694e+00,2.50477864e+00,1.05171872e+00,-7.88343573e+01,-3.92432236e+00,-4.28792869e+00
"2009M04",6.11363636e+00,2.00000000e-01,3.55853333e+00,7.04065491e+00,6.23461398e+00,-1.25959376e+01,-8.18736865e+01,-4.26680735e+00,-3.45424727e+00
"2009M05",5.75000000e+00,1.90000000e-01,2.26838041e+00,8.63382029e+00,9.11244661e+00,-1.79511439e+01,-7.53469263e+01,-4.43556076e+00,-3.25537811e+00
"2009M06",5.54545455e+00,2.20000000e-01,6.15318335e-01,8.19921260e+00,7.55949334e+00,-9.74983645e+00,-6.53591707e+01,-4.31216720e+00,-3.27009962e+00
"2009M07",5.20652174e+00,1.80000000e-01,-3.02505524e-01,9.48213018e+00,7.20932629e+00,-1.13885345e+01,-7.31874518e+01,-4.04153491e+00,-1.34049679e+00
"2009M08",4.75000000e+00,1.50000000e-01,-7.34934476e-01,1.08594148e+01,5.93882250e+00,-1.01648834e+01,-4.96006657e+01,-3.69909129e+00,-1.34744415e+00
"2009M09",4.63636364e+00,7.00000000e-02,3.28317513e-02,1.09106841e+01,8.62977207e+00,-1.12919947e+01,-4.05485690e+01,-3.32528657e+00,-1.05989492e+00
"2009M10",4.50000000e+00,1.10000000e-01,-6.55632571e-01,1.03366497e+01,7.74668765e+00,-1.15779333e+01,-1.17282957e+00,-2.95227906e+00,7.16949873e-01
"2009M11",4.50000000e+00,1.30000000e-01,-6.11722911e-01,8.28579116e+00,8.27612615e+00,-7.94279892e+00,3.08114669e+01,-2.31738158e+00,-7.52650222e-01
"2009M12",4.50000000e+00,5.00000000e-02,-2.79153977e-01,7.73452686e+00,1.04800650e+01,-4.45991356e+00,5.93857523e+01,-1.78477917e+00,6.94263282e-01
"2010M01",4.50000000e+00,1.20000000e-01,1.42240606e+00,6.28672781e+00,1.24473583e+01,-1.64832383e+01,6.30136008e+01,-1.35338488e+00,-6.98658540e-01
"2010M02",4.50000000e+00,1.30000000e-01,2.45444556e+00,2.48459986e+00,1.04207937e+01,-2.69558100e+00,6.70017991e+01,-1.09719600e+00,-1.03592778e+00
"2010M03",4.50000000e+00,9.00000000e-02,3.85498331e+00,-7.45345065e-01,1.52432871e+01,7.25706928e+00,5.27026816e+01,-8.39047767e-01,-4.37656546e-01
"2010M04",4.50000000e+00,2.00000000e-01,3.68179719e+00,-9.93796999e-01,7.61947424e+00,1.37408974e+00,5.29365878e+01,-6.11762597e-01,-1.37425152e+00
"2010M05",4.50000000e+00,1.90000000e-01,3.44777491e+00,-1.24225200e+00,6.50976883e+00,7.07952150e+00,2.22572478e+01,-5.00270663e-02,-7.40796250e-01
"2010M06",4.50000000e+00,9.00000000e-02,3.98687910e+00,-1.48701625e+00,6.79094107e+00,1.23186908e+01,7.86047325e+00,2.25339861e-01,-1.21175338e+00
"2010M07",4.50000000e+00,1.80000000e-01,4.03768145e+00,-2.10013895e+00,7.98692299e+00,5.06639936e+00,1.73669269e+01,2.24003973e-01,-9.08420535e-01
"2010M08",4.50000000e+00,2.10000000e-01,4.01391676e+00,-2.94861657e+00,7.50476361e+00,1.12036463e+01,7.52750810e+00,2.69709804e-01,-1.93150221e+00
"2010M09",4.50000000e+00,1.50000000e-01,3.68970242e+00,-2.92703823e+00,5.33140403e+00,7.87215657e+00,8.07048131e+00,2.34648044e-01,-1.00708460e+00
"2010M10",4.50000000e+00,2.00000000e-01,4.40727485e+00,-3.53479823e+00,8.02138619e+00,3.56912977e+00,7.84294778e+00,4.30844081e-01,3.54415677e-01
"2010M11",4.50000000e+00,2.00000000e-01,5.12056337e+00,-3.68139731e+00,6.90535746e+00,1.40712907e+01,7.72418680e+00,2.54428860e-01,-8.94736218e-01
"2010M12",4.50000000e+00,1.30000000e-01,5.25312914e+00,-4.29250447e+00,6.97809239e+00,7.10657088e+00,1.79878096e+01,5.21790376e-01,1.83076040e+00
"2011M01",4.50000000e+00,1.70000000e-01,4.72497493e+00,-5.02248846e+00,1.17300300e+01,1.40768449e+01,1.29673351e+01,2.01458377e-01,8.96880815e-01
"2011M02",4.50000000e+00,1.60000000e-01,5.05429580e+00,-4.13333727e+00,1.19244626e+01,1.04048180e+01,1.48070926e+01,2.37310466e-01,-2.62828250e-01
"2011M03",4.50000000e+00,1.00000000e-01,4.76555305e+00,-3.94202343e+00,7.09314992e+00,3.73999297e+00,2.36376942e+01,3.60669198e-01,8.83297318e-01
"2011M04",4.75000000e+00,9.00000000e-02,5.60617758e+00,-4.86029158e+00,1.39647986e+01,7.52065886e+00,2.61924179e+01,5.03662488e-01,1.14753207e+00
"2011M05",4.75000000e+00,1.00000000e-01,6.20064181e+00,-4.47358938e+00,8.52006562e+00,1.51265369e+01,3.13541791e+01,6.17902778e-01,6.30396774e-01
"2011M06",4.75000000e+00,7.00000000e-02,6.22929117e+00,-2.78499012e+00,1.16935549e+01,5.45342959e+00,2.45138460e+01,5.44483572e-01,1.77998568e+00
"2011M07",4.75000000e+00,1.10000000e-01,6.79830238e+00,-3.17084269e+00,8.21571458e+00,-9.48422706e+00,2.42906172e+01,7.17973763e-01,1.51899748e+00
"2011M08",5.00000000e+00,8.00000000e-02,7.35294789e+00,-2.39759119e+00,1.06667448e+01,8.18754408e+00,1.19627207e+01,4.68754320e-01,6.04404831e-01
"2011M09",5.00000000e+00,6.00000000e-02,6.99636545e+00,-2.88783407e+00,6.11318828e+00,1.51915641e+00,1.27986264e+01,5.51526172e-01,1.28766305e+00
"2011M10",5.50000000e+00,9.00000000e-02,6.43264215e+00,-2.64000247e+00,4.98921959e+00,4.99960479e+00,5.26771308e+00,5.46534074e-01,-7.82934689e-01
"2011M11",5.50000000e+00,1.00000000e-01,5.88183154e+00,-2.40365778e+00,9.45244331e+00,3.58610067e+00,1.42541524e+01,5.73747132e-01,1.77470734e-01
"2011M12",5.50000000e+00,4.00000000e-02,6.01539227e+00,-2.28146778e+00,9.23898789e+00,8.28648279e+00,1.00420033e+01,6.07255757e-01,2.84846161e-01
"2012M01",5.50000000e+00,1.10000000e-01,5.35238339e+00,-1.90240360e+00,2.93594980e+00,7.41331849e+00,1.17351185e+01,7.19929700e-01,-3.54119447e-01
"2012M02",5.50000000e+00,1.00000000e-01,5.08844646e+00,-5.12821637e-01,7.05402558e+00,1.40075919e+01,1.43082543e+01,7.75004956e-01,-4.56508930e-01
"2012M03",5.50000000e+00,9.00000000e-02,4.55253000e+00,2.59067502e-01,6.74118751e+00,4.57978786e+00,3.15909576e+00,9.38191264e-01,6.01166643e-01
"2012M04",5.50000000e+00,1.60000000e-01,4.18566437e+00,1.43138423e+00,2.49273682e+00,1.20860559e+01,-5.83806620e+00,8.82672644e-01,-2.18168577e+00
"2012M05",5.50000000e+00,1.60000000e-01,3.82260353e+00,1.68506904e+00,4.83460045e+00,8.37956816e+00,-6.39007466e+00,8.56652769e-01,-1.19182654e+00
"2012M06",5.50000000e+00,9.00000000e-02,3.41413772e+00,7.67267191e-01,4.40586915e+00,3.83983105e+00,-1.56683752e+01,7.05412946e-01,3.15767364e-01
"2012M07",5.00000000e+00,1.30000000e-01,2.82051959e+00,7.70222036e-01,7.59939563e+00,1.87880690e+01,-1.01689331e+01,6.53289788e-01,-9.95070587e-01
"2012M08",5.00000000e+00,1.30000000e-01,2.67527723e+00,6.36539387e-01,2.47549491e+00,7.47704201e+00,8.64782467e+00,6.55126644e-01,-5.14241993e-01
"2012M09",5.00000000e+00,9.00000000e-02,3.22773684e+00,1.64248797e+00,6.80842343e+00,2.73747776e-01,1.00050047e+01,6.18972375e-01,1.37905240e-01
"2012M10",5.00000000e+00,1.80000000e-01,3.29301451e+00,3.81437208e-01,1.17701837e+01,1.52066511e+01,3.60525591e+00,5.35907230e-01,-2.20934998e-02
"2012M11",5.00000000e+00,1.60000000e-01,3.06658485e+00,7.65309858e-01,7.74488991e+00,6.88958265e+00,-1.15856321e+01,3.79090520e-01,-5.86978534e-01
"2012M12",5.00000000e+00,9.00000000e-02,3.38827192e+00,1.14724012e+00,9.53519831e+00,7.79879612e+00,-1.14955541e+01,4.29060853e-01,5.43129286e-01
"2013M01",5.00000000e+00,1.50000000e-01,3.78448485e+00,1.01911710e+00,7.73807618e+00,1.59614026e+01,-5.65892506e+00,4.36231341e-01,4.86839072e-01
"2013M02",5.00000000e+00,1.40000000e-01,4.09904723e+00,6.40617181e-01,4.33954568e+00,2.28050270e-01,-6.98471233e+00,6.99785391e-01,-5.39858533e-02
"2013M03",5.00000000e+00,9.00000000e-02,4.24701970e+00,1.02961013e+00,1.25591908e+01,5.32684626e+00,-1.32987997e+01,7.47152130e-01,-6.78793980e-01
"2013M04",5.25000000e+00,1.40000000e-01,4.04426700e+00,7.72204609e-01,1.06970098e+01,7.40397803e+00,-1.15819883e+01,6.26050176e-01,1.16670052e+00
"2013M05",5.25000000e+00,9.00000000e-02,4.18166724e+00,1.28452169e-01,1.25705023e+01,5.47196586e+00,-1.53306082e-01,5.79465948e-01,2.70133350e-01
"2013M06",5.25000000e+00,7.00000000e-02,4.68234213e+00,-3.82897724e-01,9.11647874e+00,-3.64789241e+00,1.51563978e+01,6.15249420e-01,-3.91957776e-01
"2013M07",5.25000000e+00,9.00000000e-02,4.63100031e+00,0.00000000e+00,9.84004600e+00,5.46281682e+00,1.74675600e+01,6.99295173e-01,-5.15113626e-01
"2013M08",5.25000000e+00,7.00000000e-02,4.32032630e+00,1.26823099e-01,1.18891853e+01,3.31989941e+00,1.24136975e+01,8.19276769e-01,3.21417639e-01
"2013M09",5.25000000e+00,6.00000000e-02,4.12429586e+00,-5.02513620e-01,8.04437405e+00,1.39833255e+01,1.17421873e+01,7.73998818e-01,-2.39365137e-01
"2013M10",5.00000000e+00,7.00000000e-02,4.07048572e+00,1.01010960e+00,8.26091787e+00,1.44544192e+01,1.16396898e+01,5.76907784e-01,-4.30356020e-01
