"Variables ->","i","i_star","D4L_cpi","D4L_pce_core","gdp_gap","gdp_gap_star"
"Comments ->","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2011M03",4.50000000e+00,1.00000000e-01,4.76555305e+00,1.20725366e+00,8.83297318e-01,3.60669198e-01
"2011M04",4.75000000e+00,9.00000000e-02,5.60617758e+00,1.38506369e+00,1.14753207e+00,5.03662488e-01
"2011M05",4.75000000e+00,1.00000000e-01,6.20064181e+00,1.51207150e+00,6.30396774e-01,6.17902778e-01
"2011M06",4.75000000e+00,7.00000000e-02,6.22929117e+00,1.57387835e+00,1.77998568e+00,5.44483572e-01
"2011M07",4.75000000e+00,1.10000000e-01,6.79830238e+00,1.71958184e+00,1.51899748e+00,7.17973763e-01
"2011M08",5.00000000e+00,8.00000000e-02,7.35294789e+00,1.82291402e+00,6.04404831e-01,4.68754320e-01
"2011M09",5.00000000e+00,6.00000000e-02,6.99636545e+00,1.83390270e+00,1.28766305e+00,5.51526172e-01
"2011M10",5.50000000e+00,9.00000000e-02,6.43264215e+00,1.72967644e+00,-7.82934689e-01,5.46534074e-01
"2011M11",5.50000000e+00,1.00000000e-01,5.88183154e+00,1.81135701e+00,1.77470734e-01,5.73747132e-01
"2011M12",5.50000000e+00,4.00000000e-02,6.01539227e+00,1.95571159e+00,2.84846161e-01,6.07255757e-01
"2012M01",5.50000000e+00,1.10000000e-01,5.35238339e+00,2.04051832e+00,-3.54119447e-01,7.19929700e-01
"2012M02",5.50000000e+00,1.00000000e-01,5.08844646e+00,2.00560049e+00,-4.56508930e-01,7.75004956e-01
"2012M03",5.50000000e+00,9.00000000e-02,4.55253000e+00,2.02421917e+00,6.01166643e-01,9.38191264e-01
"2012M04",5.50000000e+00,1.60000000e-01,4.18566437e+00,1.94627362e+00,-2.18168577e+00,8.82672644e-01
"2012M05",5.50000000e+00,1.60000000e-01,3.82260353e+00,1.81026015e+00,-1.19182654e+00,8.56652769e-01
"2012M06",5.50000000e+00,9.00000000e-02,3.41413772e+00,1.80290798e+00,3.15767364e-01,7.05412946e-01
"2012M07",5.00000000e+00,1.30000000e-01,2.82051959e+00,1.75831568e+00,-9.95070587e-01,6.53289788e-01
"2012M08",5.00000000e+00,1.30000000e-01,2.67527723e+00,1.62268550e+00,-5.14241993e-01,6.55126644e-01
"2012M09",5.00000000e+00,9.00000000e-02,3.22773684e+00,1.67745380e+00,1.37905240e-01,6.18972375e-01
"2012M10",5.00000000e+00,1.80000000e-01,3.29301451e+00,1.87182083e+00,-2.20934998e-02,5.35907230e-01
"2012M11",5.00000000e+00,1.60000000e-01,3.06658485e+00,1.76735881e+00,-5.86978534e-01,3.79090520e-01
"2012M12",5.00000000e+00,9.00000000e-02,3.38827192e+00,1.67574578e+00,5.43129286e-01,4.29060853e-01
"2013M01",5.00000000e+00,1.50000000e-01,3.78448485e+00,1.57905377e+00,4.86839072e-01,4.36231341e-01
"2013M02",5.00000000e+00,1.40000000e-01,4.09904723e+00,1.54808672e+00,-5.39858533e-02,6.99785391e-01
"2013M03",5.00000000e+00,9.00000000e-02,4.24701970e+00,1.46988892e+00,-6.78793980e-01,7.47152130e-01
"2013M04",5.25000000e+00,1.40000000e-01,4.04426700e+00,1.36766727e+00,1.16670052e+00,6.26050176e-01
"2013M05",5.25000000e+00,9.00000000e-02,4.18166724e+00,1.38330489e+00,2.70133350e-01,5.79465948e-01
"2013M06",5.25000000e+00,7.00000000e-02,4.68234213e+00,1.45304306e+00,-3.91957776e-01,6.15249420e-01
"2013M07",5.25000000e+00,9.00000000e-02,4.63100031e+00,1.47699922e+00,-5.15113626e-01,6.99295173e-01
"2013M08",5.25000000e+00,7.00000000e-02,4.32032630e+00,1.52161539e+00,3.21417639e-01,8.19276769e-01
"2013M09",5.25000000e+00,6.00000000e-02,4.12429586e+00,1.51765124e+00,-2.39365137e-01,7.73998818e-01
"2013M10",5.00000000e+00,7.00000000e-02,4.07048572e+00,1.44433720e+00,-4.30356020e-01,5.76907784e-01
"2013M11",5.00000000e+00,7.00000000e-02,4.52671200e+00,1.50290925e+00,4.32487072e-01,6.39951581e-01
"2013M12",5.00000000e+00,7.00000000e-02,4.29388131e+00,1.53551233e+00,-1.71475536e+00,7.00251369e-01
